visit,detector,annotation,filename
2025042500576,100,0.5,2025042500576_100_likely_good.png
2025042500576,101,1,2025042500576_101_likely_good.png
2025042500576,102,0.5,2025042500576_102_likely_good.png
2025042500576,103,0.5,2025042500576_103_likely_good.png
2025042500576,104,1,2025042500576_104_likely_good.png
2025042500576,105,0,2025042500576_105_likely_good.png
2025042500576,106,0.5,2025042500576_106_likely_good.png
2025042500576,107,1,2025042500576_107_likely_good.png
2025042500576,108,1,2025042500576_108_likely_good.png
2025042500576,109,1,2025042500576_109_likely_good.png
2025042500576,10,0.5,2025042500576_10_likely_good.png
2025042500576,110,1,2025042500576_110_likely_good.png
2025042500576,111,1,2025042500576_111_likely_good.png
2025042500576,112,1,2025042500576_112_likely_good.png
2025042500576,113,1,2025042500576_113_likely_good.png
2025042500576,114,1,2025042500576_114_likely_good.png
2025042500576,115,1,2025042500576_115_likely_good.png
2025042500576,116,1,2025042500576_116_likely_good.png
2025042500576,117,0,2025042500576_117_likely_good.png
2025042500576,118,0,2025042500576_118_likely_good.png
2025042500576,119,0,2025042500576_119_likely_good.png
2025042500576,11,1,2025042500576_11_likely_good.png
2025042500576,124,0,2025042500576_124_likely_good.png
2025042500576,125,0,2025042500576_125_likely_good.png
2025042500576,126,0,2025042500576_126_likely_good.png
2025042500576,127,0,2025042500576_127_likely_good.png
2025042500576,128,0,2025042500576_128_likely_good.png
2025042500576,129,0,2025042500576_129_likely_good.png
2025042500576,12,0,2025042500576_12_likely_good.png
2025042500576,130,0,2025042500576_130_likely_good.png
2025042500576,131,0,2025042500576_131_likely_good.png
2025042500576,132,0,2025042500576_132_likely_good.png
2025042500576,133,0,2025042500576_133_likely_good.png
2025042500576,134,0,2025042500576_134_likely_good.png
2025042500576,135,0,2025042500576_135_likely_good.png
2025042500576,136,0,2025042500576_136_likely_good.png
2025042500576,137,0,2025042500576_137_likely_good.png
2025042500576,138,0,2025042500576_138_likely_good.png
2025042500576,139,0,2025042500576_139_likely_good.png
2025042500576,13,0.5,2025042500576_13_likely_good.png
2025042500576,140,0,2025042500576_140_likely_good.png
2025042500576,141,0,2025042500576_141_likely_good.png
2025042500576,142,0,2025042500576_142_likely_good.png
2025042500576,143,0,2025042500576_143_likely_good.png
2025042500576,144,0,2025042500576_144_likely_good.png
2025042500576,145,0,2025042500576_145_likely_good.png
2025042500576,146,0.5,2025042500576_146_likely_good.png
2025042500576,147,0.5,2025042500576_147_likely_good.png
2025042500576,148,0.5,2025042500576_148_likely_good.png
2025042500576,149,1,2025042500576_149_likely_good.png
2025042500576,14,1,2025042500576_14_likely_good.png
2025042500576,150,0,2025042500576_150_likely_good.png
2025042500576,151,0.5,2025042500576_151_likely_good.png
2025042500576,152,0.5,2025042500576_152_likely_good.png
2025042500576,153,1,2025042500576_153_likely_good.png
2025042500576,154,1,2025042500576_154_likely_good.png
